"name","trends_data"
"Arnold Schwarzenegger","[{""x"": 2004, ""y"": 13.083333333333334}, {""x"": 2005, ""y"": 10.5}, {""x"": 2006, ""y"": 8.583333333333334}, {""x"": 2007, ""y"": 7.083333333333333}, {""x"": 2008, ""y"": 8.166666666666666}, {""x"": 2009, ""y"": 14.416666666666666}, {""x"": 2010, ""y"": 17.0}, {""x"": 2011, ""y"": 25.833333333333332}, {""x"": 2012, ""y"": 21.0}, {""x"": 2013, ""y"": 22.916666666666668}, {""x"": 2014, ""y"": 25.166666666666668}, {""x"": 2015, ""y"": 27.333333333333332}, {""x"": 2016, ""y"": 19.5}, {""x"": 2017, ""y"": 17.083333333333332}, {""x"": 2018, ""y"": 15.916666666666666}, {""x"": 2019, ""y"": 18.416666666666668}, {""x"": 2020, ""y"": 16.5}, {""x"": 2021, ""y"": 15.75}, {""x"": 2022, ""y"": 16.333333333333332}, {""x"": 2023, ""y"": 22.583333333333332}, {""x"": 2024, ""y"": 14.583333333333334}, {""x"": 2025, ""y"": 13.75}]"
"Donald Trump","[{""x"": 2004, ""y"": 1.8333333333333333}, {""x"": 2005, ""y"": 1.3333333333333333}, {""x"": 2006, ""y"": 1.0833333333333333}, {""x"": 2007, ""y"": 1.0833333333333333}, {""x"": 2008, ""y"": 1.0}, {""x"": 2009, ""y"": 0.6666666666666666}, {""x"": 2010, ""y"": 0.6666666666666666}, {""x"": 2011, ""y"": 1.75}, {""x"": 2012, ""y"": 1.4166666666666667}, {""x"": 2013, ""y"": 1.0}, {""x"": 2014, ""y"": 1.0}, {""x"": 2015, ""y"": 8.333333333333334}, {""x"": 2016, ""y"": 31.5}, {""x"": 2017, ""y"": 20.75}, {""x"": 2018, ""y"": 13.166666666666666}, {""x"": 2019, ""y"": 11.583333333333334}, {""x"": 2020, ""y"": 19.75}, {""x"": 2021, ""y"": 5.75}, {""x"": 2022, ""y"": 3.25}, {""x"": 2023, ""y"": 3.75}, {""x"": 2024, ""y"": 11.833333333333334}, {""x"": 2025, ""y"": 14.5}]"
"Britney Spears","[{""x"": 2004, ""y"": 37.666666666666664}, {""x"": 2005, ""y"": 24.75}, {""x"": 2006, ""y"": 26.0}, {""x"": 2007, ""y"": 28.333333333333332}, {""x"": 2008, ""y"": 19.916666666666668}, {""x"": 2009, ""y"": 16.583333333333332}, {""x"": 2010, ""y"": 9.333333333333334}, {""x"": 2011, ""y"": 13.416666666666666}, {""x"": 2012, ""y"": 7.333333333333333}, {""x"": 2013, ""y"": 7.75}, {""x"": 2014, ""y"": 5.0}, {""x"": 2015, ""y"": 4.166666666666667}, {""x"": 2016, ""y"": 4.416666666666667}, {""x"": 2017, ""y"": 3.1666666666666665}, {""x"": 2018, ""y"": 2.9166666666666665}, {""x"": 2019, ""y"": 2.5}, {""x"": 2020, ""y"": 3.1666666666666665}, {""x"": 2021, ""y"": 6.416666666666667}, {""x"": 2022, ""y"": 3.8333333333333335}, {""x"": 2023, ""y"": 3.5833333333333335}, {""x"": 2024, ""y"": 2.3333333333333335}, {""x"": 2025, ""y"": 2.0}]"
"Kamala Harris","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.0}, {""x"": 2007, ""y"": 0.0}, {""x"": 2008, ""y"": 0.0}, {""x"": 2009, ""y"": 0.0}, {""x"": 2010, ""y"": 0.16666666666666666}, {""x"": 2011, ""y"": 0.0}, {""x"": 2012, ""y"": 0.0}, {""x"": 2013, ""y"": 0.5}, {""x"": 2014, ""y"": 0.0}, {""x"": 2015, ""y"": 0.0}, {""x"": 2016, ""y"": 0.4166666666666667}, {""x"": 2017, ""y"": 0.8333333333333334}, {""x"": 2018, ""y"": 1.25}, {""x"": 2019, ""y"": 5.333333333333333}, {""x"": 2020, ""y"": 17.166666666666668}, {""x"": 2021, ""y"": 7.416666666666667}, {""x"": 2022, ""y"": 2.4166666666666665}, {""x"": 2023, ""y"": 1.9166666666666667}, {""x"": 2024, ""y"": 33.5}, {""x"": 2025, ""y"": 5.0}]"
"Elon Musk","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.0}, {""x"": 2007, ""y"": 0.0}, {""x"": 2008, ""y"": 0.0}, {""x"": 2009, ""y"": 0.0}, {""x"": 2010, ""y"": 0.08333333333333333}, {""x"": 2011, ""y"": 0.0}, {""x"": 2012, ""y"": 0.5833333333333334}, {""x"": 2013, ""y"": 1.75}, {""x"": 2014, ""y"": 2.0}, {""x"": 2015, ""y"": 3.8333333333333335}, {""x"": 2016, ""y"": 4.666666666666667}, {""x"": 2017, ""y"": 7.833333333333333}, {""x"": 2018, ""y"": 15.75}, {""x"": 2019, ""y"": 10.5}, {""x"": 2020, ""y"": 22.333333333333332}, {""x"": 2021, ""y"": 32.0}, {""x"": 2022, ""y"": 43.416666666666664}, {""x"": 2023, ""y"": 26.583333333333332}, {""x"": 2024, ""y"": 32.25}, {""x"": 2025, ""y"": 81.75}]"
"Julia Roberts","[{""x"": 2004, ""y"": 44.083333333333336}, {""x"": 2005, ""y"": 31.333333333333332}, {""x"": 2006, ""y"": 22.083333333333332}, {""x"": 2007, ""y"": 19.583333333333332}, {""x"": 2008, ""y"": 16.5}, {""x"": 2009, ""y"": 20.666666666666668}, {""x"": 2010, ""y"": 26.916666666666668}, {""x"": 2011, ""y"": 24.833333333333332}, {""x"": 2012, ""y"": 24.0}, {""x"": 2013, ""y"": 22.416666666666668}, {""x"": 2014, ""y"": 29.75}, {""x"": 2015, ""y"": 24.5}, {""x"": 2016, ""y"": 25.083333333333332}, {""x"": 2017, ""y"": 23.833333333333332}, {""x"": 2018, ""y"": 26.75}, {""x"": 2019, ""y"": 25.166666666666668}, {""x"": 2020, ""y"": 24.5}, {""x"": 2021, ""y"": 21.583333333333332}, {""x"": 2022, ""y"": 24.333333333333332}, {""x"": 2023, ""y"": 27.416666666666668}, {""x"": 2024, ""y"": 26.75}, {""x"": 2025, ""y"": 20.25}]"
"Morgan Freeman","[{""x"": 2004, ""y"": 1.1666666666666667}, {""x"": 2005, ""y"": 2.0}, {""x"": 2006, ""y"": 1.5833333333333333}, {""x"": 2007, ""y"": 1.5833333333333333}, {""x"": 2008, ""y"": 4.5}, {""x"": 2009, ""y"": 3.1666666666666665}, {""x"": 2010, ""y"": 4.0}, {""x"": 2011, ""y"": 4.0}, {""x"": 2012, ""y"": 16.75}, {""x"": 2013, ""y"": 8.083333333333334}, {""x"": 2014, ""y"": 6.25}, {""x"": 2015, ""y"": 5.666666666666667}, {""x"": 2016, ""y"": 6.0}, {""x"": 2017, ""y"": 6.166666666666667}, {""x"": 2018, ""y"": 5.916666666666667}, {""x"": 2019, ""y"": 4.166666666666667}, {""x"": 2020, ""y"": 4.75}, {""x"": 2021, ""y"": 4.0}, {""x"": 2022, ""y"": 4.583333333333333}, {""x"": 2023, ""y"": 4.5}, {""x"": 2024, ""y"": 4.583333333333333}, {""x"": 2025, ""y"": 4.25}]"
"Hillary Clinton","[{""x"": 2004, ""y"": 2.25}, {""x"": 2005, ""y"": 2.0}, {""x"": 2006, ""y"": 1.8333333333333333}, {""x"": 2007, ""y"": 5.75}, {""x"": 2008, ""y"": 10.583333333333334}, {""x"": 2009, ""y"": 1.4166666666666667}, {""x"": 2010, ""y"": 1.0833333333333333}, {""x"": 2011, ""y"": 1.4166666666666667}, {""x"": 2012, ""y"": 2.75}, {""x"": 2013, ""y"": 2.3333333333333335}, {""x"": 2014, ""y"": 2.3333333333333335}, {""x"": 2015, ""y"": 7.0}, {""x"": 2016, ""y"": 37.833333333333336}, {""x"": 2017, ""y"": 5.333333333333333}, {""x"": 2018, ""y"": 3.25}, {""x"": 2019, ""y"": 2.5}, {""x"": 2020, ""y"": 3.6666666666666665}, {""x"": 2021, ""y"": 1.1666666666666667}, {""x"": 2022, ""y"": 1.0833333333333333}, {""x"": 2023, ""y"": 1.0}, {""x"": 2024, ""y"": 1.5}, {""x"": 2025, ""y"": 1.25}]"
"Lady Gaga","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.0}, {""x"": 2007, ""y"": 0.0}, {""x"": 2008, ""y"": 3.4166666666666665}, {""x"": 2009, ""y"": 47.166666666666664}, {""x"": 2010, ""y"": 70.66666666666667}, {""x"": 2011, ""y"": 49.666666666666664}, {""x"": 2012, ""y"": 22.833333333333332}, {""x"": 2013, ""y"": 18.25}, {""x"": 2014, ""y"": 12.666666666666666}, {""x"": 2015, ""y"": 9.416666666666666}, {""x"": 2016, ""y"": 10.0}, {""x"": 2017, ""y"": 10.583333333333334}, {""x"": 2018, ""y"": 7.583333333333333}, {""x"": 2019, ""y"": 13.5}, {""x"": 2020, ""y"": 7.666666666666667}, {""x"": 2021, ""y"": 7.25}, {""x"": 2022, ""y"": 6.25}, {""x"": 2023, ""y"": 5.583333333333333}, {""x"": 2024, ""y"": 6.416666666666667}, {""x"": 2025, ""y"": 12.5}]"
"Justin Bieber","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.0}, {""x"": 2007, ""y"": 0.0}, {""x"": 2008, ""y"": 0.0}, {""x"": 2009, ""y"": 6.166666666666667}, {""x"": 2010, ""y"": 73.75}, {""x"": 2011, ""y"": 70.5}, {""x"": 2012, ""y"": 49.166666666666664}, {""x"": 2013, ""y"": 47.5}, {""x"": 2014, ""y"": 33.0}, {""x"": 2015, ""y"": 31.333333333333332}, {""x"": 2016, ""y"": 33.5}, {""x"": 2017, ""y"": 23.583333333333332}, {""x"": 2018, ""y"": 12.833333333333334}, {""x"": 2019, ""y"": 8.833333333333334}, {""x"": 2020, ""y"": 9.583333333333334}, {""x"": 2021, ""y"": 9.166666666666666}, {""x"": 2022, ""y"": 8.583333333333334}, {""x"": 2023, ""y"": 5.916666666666667}, {""x"": 2024, ""y"": 7.333333333333333}, {""x"": 2025, ""y"": 6.75}]"
