"name","trends_data"
"Johnny Depp","[{""x"": 2004, ""y"": 10.083333333333334}, {""x"": 2005, ""y"": 6.666666666666667}, {""x"": 2006, ""y"": 6.25}, {""x"": 2007, ""y"": 5.166666666666667}, {""x"": 2008, ""y"": 4.583333333333333}, {""x"": 2009, ""y"": 4.75}, {""x"": 2010, ""y"": 6.0}, {""x"": 2011, ""y"": 6.5}, {""x"": 2012, ""y"": 8.75}, {""x"": 2013, ""y"": 6.833333333333333}, {""x"": 2014, ""y"": 6.0}, {""x"": 2015, ""y"": 7.25}, {""x"": 2016, ""y"": 7.083333333333333}, {""x"": 2017, ""y"": 4.833333333333333}, {""x"": 2018, ""y"": 4.75}, {""x"": 2019, ""y"": 3.8333333333333335}, {""x"": 2020, ""y"": 6.583333333333333}, {""x"": 2021, ""y"": 4.333333333333333}, {""x"": 2022, ""y"": 22.583333333333332}, {""x"": 2023, ""y"": 4.416666666666667}, {""x"": 2024, ""y"": 3.3333333333333335}, {""x"": 2025, ""y"": 2.5}]"
"Sylvester Stallone","[{""x"": 2004, ""y"": 2.4166666666666665}, {""x"": 2005, ""y"": 2.75}, {""x"": 2006, ""y"": 2.6666666666666665}, {""x"": 2007, ""y"": 2.8333333333333335}, {""x"": 2008, ""y"": 2.75}, {""x"": 2009, ""y"": 2.8333333333333335}, {""x"": 2010, ""y"": 5.5}, {""x"": 2011, ""y"": 5.25}, {""x"": 2012, ""y"": 8.5}, {""x"": 2013, ""y"": 8.0}, {""x"": 2014, ""y"": 10.416666666666666}, {""x"": 2015, ""y"": 8.166666666666666}, {""x"": 2016, ""y"": 9.083333333333334}, {""x"": 2017, ""y"": 6.583333333333333}, {""x"": 2018, ""y"": 15.25}, {""x"": 2019, ""y"": 7.0}, {""x"": 2020, ""y"": 7.0}, {""x"": 2021, ""y"": 5.916666666666667}, {""x"": 2022, ""y"": 7.083333333333333}, {""x"": 2023, ""y"": 9.333333333333334}, {""x"": 2024, ""y"": 7.0}, {""x"": 2025, ""y"": 4.75}]"
"Sandra Bullock","[{""x"": 2004, ""y"": 8.083333333333334}, {""x"": 2005, ""y"": 9.666666666666666}, {""x"": 2006, ""y"": 7.083333333333333}, {""x"": 2007, ""y"": 5.75}, {""x"": 2008, ""y"": 4.333333333333333}, {""x"": 2009, ""y"": 12.666666666666666}, {""x"": 2010, ""y"": 27.833333333333332}, {""x"": 2011, ""y"": 11.916666666666666}, {""x"": 2012, ""y"": 9.333333333333334}, {""x"": 2013, ""y"": 14.0}, {""x"": 2014, ""y"": 13.0}, {""x"": 2015, ""y"": 10.916666666666666}, {""x"": 2016, ""y"": 7.333333333333333}, {""x"": 2017, ""y"": 6.833333333333333}, {""x"": 2018, ""y"": 9.916666666666666}, {""x"": 2019, ""y"": 9.666666666666666}, {""x"": 2020, ""y"": 7.833333333333333}, {""x"": 2021, ""y"": 9.083333333333334}, {""x"": 2022, ""y"": 11.416666666666666}, {""x"": 2023, ""y"": 8.75}, {""x"": 2024, ""y"": 7.0}, {""x"": 2025, ""y"": 5.5}]"
"Kanye West","[{""x"": 2004, ""y"": 11.0}, {""x"": 2005, ""y"": 16.166666666666668}, {""x"": 2006, ""y"": 8.416666666666666}, {""x"": 2007, ""y"": 15.833333333333334}, {""x"": 2008, ""y"": 18.25}, {""x"": 2009, ""y"": 25.0}, {""x"": 2010, ""y"": 20.916666666666668}, {""x"": 2011, ""y"": 20.583333333333332}, {""x"": 2012, ""y"": 21.25}, {""x"": 2013, ""y"": 22.25}, {""x"": 2014, ""y"": 14.833333333333334}, {""x"": 2015, ""y"": 19.666666666666668}, {""x"": 2016, ""y"": 28.083333333333332}, {""x"": 2017, ""y"": 9.583333333333334}, {""x"": 2018, ""y"": 14.416666666666666}, {""x"": 2019, ""y"": 9.166666666666666}, {""x"": 2020, ""y"": 13.166666666666666}, {""x"": 2021, ""y"": 12.166666666666666}, {""x"": 2022, ""y"": 16.583333333333332}, {""x"": 2023, ""y"": 11.166666666666666}, {""x"": 2024, ""y"": 10.166666666666666}, {""x"": 2025, ""y"": 23.0}]"
"Samuel L. Jackson","[{""x"": 2004, ""y"": 34.25}, {""x"": 2005, ""y"": 41.333333333333336}, {""x"": 2006, ""y"": 41.333333333333336}, {""x"": 2007, ""y"": 27.916666666666668}, {""x"": 2008, ""y"": 27.75}, {""x"": 2009, ""y"": 18.416666666666668}, {""x"": 2010, ""y"": 13.666666666666666}, {""x"": 2011, ""y"": 14.083333333333334}, {""x"": 2012, ""y"": 14.166666666666666}, {""x"": 2013, ""y"": 13.083333333333334}, {""x"": 2014, ""y"": 11.583333333333334}, {""x"": 2015, ""y"": 9.833333333333334}, {""x"": 2016, ""y"": 13.166666666666666}, {""x"": 2017, ""y"": 15.583333333333334}, {""x"": 2018, ""y"": 12.166666666666666}, {""x"": 2019, ""y"": 15.25}, {""x"": 2020, ""y"": 13.833333333333334}, {""x"": 2021, ""y"": 14.083333333333334}, {""x"": 2022, ""y"": 13.75}, {""x"": 2023, ""y"": 12.666666666666666}, {""x"": 2024, ""y"": 11.75}, {""x"": 2025, ""y"": 11.0}]"
"Shaquille O'Neal","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.0}, {""x"": 2007, ""y"": 0.0}, {""x"": 2008, ""y"": 0.0}, {""x"": 2009, ""y"": 0.0}, {""x"": 2010, ""y"": 0.0}, {""x"": 2011, ""y"": 0.0}, {""x"": 2012, ""y"": 0.0}, {""x"": 2013, ""y"": 0.0}, {""x"": 2014, ""y"": 0.0}, {""x"": 2015, ""y"": 0.0}, {""x"": 2016, ""y"": 48.333333333333336}, {""x"": 2017, ""y"": 38.75}, {""x"": 2018, ""y"": 29.5}, {""x"": 2019, ""y"": 37.75}, {""x"": 2020, ""y"": 48.25}, {""x"": 2021, ""y"": 51.583333333333336}, {""x"": 2022, ""y"": 66.08333333333333}, {""x"": 2023, ""y"": 50.0}, {""x"": 2024, ""y"": 44.166666666666664}, {""x"": 2025, ""y"": 33.25}]"
"Queen Elizabeth II","[{""x"": 2004, ""y"": 2.4166666666666665}, {""x"": 2005, ""y"": 1.75}, {""x"": 2006, ""y"": 1.75}, {""x"": 2007, ""y"": 1.9166666666666667}, {""x"": 2008, ""y"": 1.4166666666666667}, {""x"": 2009, ""y"": 1.25}, {""x"": 2010, ""y"": 2.0}, {""x"": 2011, ""y"": 1.8333333333333333}, {""x"": 2012, ""y"": 1.9166666666666667}, {""x"": 2013, ""y"": 1.3333333333333333}, {""x"": 2014, ""y"": 1.0}, {""x"": 2015, ""y"": 1.6666666666666667}, {""x"": 2016, ""y"": 2.25}, {""x"": 2017, ""y"": 2.1666666666666665}, {""x"": 2018, ""y"": 2.1666666666666665}, {""x"": 2019, ""y"": 1.75}, {""x"": 2020, ""y"": 2.75}, {""x"": 2021, ""y"": 2.5}, {""x"": 2022, ""y"": 11.333333333333334}, {""x"": 2023, ""y"": 1.4166666666666667}, {""x"": 2024, ""y"": 1.25}, {""x"": 2025, ""y"": 1.0}]"
"Mariah Carey","[{""x"": 2004, ""y"": 18.666666666666668}, {""x"": 2005, ""y"": 54.916666666666664}, {""x"": 2006, ""y"": 30.5}, {""x"": 2007, ""y"": 18.666666666666668}, {""x"": 2008, ""y"": 34.083333333333336}, {""x"": 2009, ""y"": 33.25}, {""x"": 2010, ""y"": 29.416666666666668}, {""x"": 2011, ""y"": 23.083333333333332}, {""x"": 2012, ""y"": 18.583333333333332}, {""x"": 2013, ""y"": 21.916666666666668}, {""x"": 2014, ""y"": 18.166666666666668}, {""x"": 2015, ""y"": 15.833333333333334}, {""x"": 2016, ""y"": 16.25}, {""x"": 2017, ""y"": 18.916666666666668}, {""x"": 2018, ""y"": 11.666666666666666}, {""x"": 2019, ""y"": 10.583333333333334}, {""x"": 2020, ""y"": 9.583333333333334}, {""x"": 2021, ""y"": 8.916666666666666}, {""x"": 2022, ""y"": 8.75}, {""x"": 2023, ""y"": 8.083333333333334}, {""x"": 2024, ""y"": 9.0}, {""x"": 2025, ""y"": 5.75}]"
"Robert Downey Jr.","[{""x"": 2004, ""y"": 15.166666666666666}, {""x"": 2005, ""y"": 11.333333333333334}, {""x"": 2006, ""y"": 10.166666666666666}, {""x"": 2007, ""y"": 9.833333333333334}, {""x"": 2008, ""y"": 30.75}, {""x"": 2009, ""y"": 14.666666666666666}, {""x"": 2010, ""y"": 21.166666666666668}, {""x"": 2011, ""y"": 11.583333333333334}, {""x"": 2012, ""y"": 16.166666666666668}, {""x"": 2013, ""y"": 14.916666666666666}, {""x"": 2014, ""y"": 9.916666666666666}, {""x"": 2015, ""y"": 9.25}, {""x"": 2016, ""y"": 12.166666666666666}, {""x"": 2017, ""y"": 10.916666666666666}, {""x"": 2018, ""y"": 11.333333333333334}, {""x"": 2019, ""y"": 18.916666666666668}, {""x"": 2020, ""y"": 14.166666666666666}, {""x"": 2021, ""y"": 16.833333333333332}, {""x"": 2022, ""y"": 17.666666666666668}, {""x"": 2023, ""y"": 16.166666666666668}, {""x"": 2024, ""y"": 16.083333333333332}, {""x"": 2025, ""y"": 10.25}]"
"Justin Timberlake","[{""x"": 2004, ""y"": 25.0}, {""x"": 2005, ""y"": 9.416666666666666}, {""x"": 2006, ""y"": 27.416666666666668}, {""x"": 2007, ""y"": 42.166666666666664}, {""x"": 2008, ""y"": 18.833333333333332}, {""x"": 2009, ""y"": 18.25}, {""x"": 2010, ""y"": 14.25}, {""x"": 2011, ""y"": 15.5}, {""x"": 2012, ""y"": 12.666666666666666}, {""x"": 2013, ""y"": 44.583333333333336}, {""x"": 2014, ""y"": 24.25}, {""x"": 2015, ""y"": 12.666666666666666}, {""x"": 2016, ""y"": 14.416666666666666}, {""x"": 2017, ""y"": 10.25}, {""x"": 2018, ""y"": 16.083333333333332}, {""x"": 2019, ""y"": 8.416666666666666}, {""x"": 2020, ""y"": 6.416666666666667}, {""x"": 2021, ""y"": 6.25}, {""x"": 2022, ""y"": 4.666666666666667}, {""x"": 2023, ""y"": 5.833333333333333}, {""x"": 2024, ""y"": 10.833333333333334}, {""x"": 2025, ""y"": 5.25}]"
"Chuck Norris","[{""x"": 2004, ""y"": 1.8333333333333333}, {""x"": 2005, ""y"": 5.75}, {""x"": 2006, ""y"": 41.916666666666664}, {""x"": 2007, ""y"": 20.166666666666668}, {""x"": 2008, ""y"": 35.583333333333336}, {""x"": 2009, ""y"": 28.416666666666668}, {""x"": 2010, ""y"": 34.666666666666664}, {""x"": 2011, ""y"": 30.75}, {""x"": 2012, ""y"": 30.333333333333332}, {""x"": 2013, ""y"": 15.083333333333334}, {""x"": 2014, ""y"": 9.166666666666666}, {""x"": 2015, ""y"": 7.75}, {""x"": 2016, ""y"": 5.333333333333333}, {""x"": 2017, ""y"": 5.5}, {""x"": 2018, ""y"": 4.25}, {""x"": 2019, ""y"": 3.8333333333333335}, {""x"": 2020, ""y"": 5.333333333333333}, {""x"": 2021, ""y"": 2.9166666666666665}, {""x"": 2022, ""y"": 3.1666666666666665}, {""x"": 2023, ""y"": 3.0833333333333335}, {""x"": 2024, ""y"": 3.4166666666666665}, {""x"": 2025, ""y"": 2.75}]"
"Jackie Chan","[{""x"": 2004, ""y"": 19.666666666666668}, {""x"": 2005, ""y"": 16.916666666666668}, {""x"": 2006, ""y"": 15.0}, {""x"": 2007, ""y"": 13.333333333333334}, {""x"": 2008, ""y"": 18.083333333333332}, {""x"": 2009, ""y"": 18.0}, {""x"": 2010, ""y"": 28.083333333333332}, {""x"": 2011, ""y"": 38.583333333333336}, {""x"": 2012, ""y"": 35.083333333333336}, {""x"": 2013, ""y"": 53.0}, {""x"": 2014, ""y"": 27.166666666666668}, {""x"": 2015, ""y"": 28.5}, {""x"": 2016, ""y"": 27.25}, {""x"": 2017, ""y"": 31.0}, {""x"": 2018, ""y"": 27.416666666666668}, {""x"": 2019, ""y"": 21.916666666666668}, {""x"": 2020, ""y"": 23.166666666666668}, {""x"": 2021, ""y"": 20.75}, {""x"": 2022, ""y"": 19.416666666666668}, {""x"": 2023, ""y"": 23.666666666666668}, {""x"": 2024, ""y"": 20.583333333333332}, {""x"": 2025, ""y"": 21.5}]"
"Joe Biden","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.0}, {""x"": 2007, ""y"": 0.25}, {""x"": 2008, ""y"": 2.4166666666666665}, {""x"": 2009, ""y"": 0.4166666666666667}, {""x"": 2010, ""y"": 0.08333333333333333}, {""x"": 2011, ""y"": 0.0}, {""x"": 2012, ""y"": 0.8333333333333334}, {""x"": 2013, ""y"": 0.25}, {""x"": 2014, ""y"": 0.08333333333333333}, {""x"": 2015, ""y"": 1.0}, {""x"": 2016, ""y"": 1.6666666666666667}, {""x"": 2017, ""y"": 1.0833333333333333}, {""x"": 2018, ""y"": 0.75}, {""x"": 2019, ""y"": 2.8333333333333335}, {""x"": 2020, ""y"": 20.083333333333332}, {""x"": 2021, ""y"": 9.75}, {""x"": 2022, ""y"": 5.666666666666667}, {""x"": 2023, ""y"": 4.833333333333333}, {""x"": 2024, ""y"": 7.916666666666667}, {""x"": 2025, ""y"": 3.0}]"
"Jennifer Lopez","[{""x"": 2004, ""y"": 53.083333333333336}, {""x"": 2005, ""y"": 55.416666666666664}, {""x"": 2006, ""y"": 30.25}, {""x"": 2007, ""y"": 31.166666666666668}, {""x"": 2008, ""y"": 22.083333333333332}, {""x"": 2009, ""y"": 19.166666666666668}, {""x"": 2010, ""y"": 21.333333333333332}, {""x"": 2011, ""y"": 67.83333333333333}, {""x"": 2012, ""y"": 49.25}, {""x"": 2013, ""y"": 29.083333333333332}, {""x"": 2014, ""y"": 36.666666666666664}, {""x"": 2015, ""y"": 30.75}, {""x"": 2016, ""y"": 27.166666666666668}, {""x"": 2017, ""y"": 20.416666666666668}, {""x"": 2018, ""y"": 17.75}, {""x"": 2019, ""y"": 19.083333333333332}, {""x"": 2020, ""y"": 18.583333333333332}, {""x"": 2021, ""y"": 19.083333333333332}, {""x"": 2022, ""y"": 17.833333333333332}, {""x"": 2023, ""y"": 13.25}, {""x"": 2024, ""y"": 17.166666666666668}, {""x"": 2025, ""y"": 10.25}]"
"Angelina Jolie","[{""x"": 2004, ""y"": 36.75}, {""x"": 2005, ""y"": 61.0}, {""x"": 2006, ""y"": 55.0}, {""x"": 2007, ""y"": 41.916666666666664}, {""x"": 2008, ""y"": 48.583333333333336}, {""x"": 2009, ""y"": 43.25}, {""x"": 2010, ""y"": 41.833333333333336}, {""x"": 2011, ""y"": 34.083333333333336}, {""x"": 2012, ""y"": 34.583333333333336}, {""x"": 2013, ""y"": 34.0}, {""x"": 2014, ""y"": 36.25}, {""x"": 2015, ""y"": 29.75}, {""x"": 2016, ""y"": 34.666666666666664}, {""x"": 2017, ""y"": 20.583333333333332}, {""x"": 2018, ""y"": 16.75}, {""x"": 2019, ""y"": 16.083333333333332}, {""x"": 2020, ""y"": 15.583333333333334}, {""x"": 2021, ""y"": 17.833333333333332}, {""x"": 2022, ""y"": 16.416666666666668}, {""x"": 2023, ""y"": 12.833333333333334}, {""x"": 2024, ""y"": 12.916666666666666}, {""x"": 2025, ""y"": 11.25}]"
"Dwayne Johnson","[{""x"": 2004, ""y"": 6.333333333333333}, {""x"": 2005, ""y"": 5.75}, {""x"": 2006, ""y"": 4.416666666666667}, {""x"": 2007, ""y"": 6.0}, {""x"": 2008, ""y"": 8.083333333333334}, {""x"": 2009, ""y"": 9.666666666666666}, {""x"": 2010, ""y"": 11.833333333333334}, {""x"": 2011, ""y"": 21.333333333333332}, {""x"": 2012, ""y"": 22.583333333333332}, {""x"": 2013, ""y"": 40.166666666666664}, {""x"": 2014, ""y"": 44.833333333333336}, {""x"": 2015, ""y"": 42.666666666666664}, {""x"": 2016, ""y"": 38.5}, {""x"": 2017, ""y"": 48.166666666666664}, {""x"": 2018, ""y"": 50.416666666666664}, {""x"": 2019, ""y"": 45.583333333333336}, {""x"": 2020, ""y"": 43.916666666666664}, {""x"": 2021, ""y"": 42.25}, {""x"": 2022, ""y"": 39.166666666666664}, {""x"": 2023, ""y"": 32.583333333333336}, {""x"": 2024, ""y"": 25.416666666666668}, {""x"": 2025, ""y"": 21.5}]"
"Tom Hanks","[{""x"": 2004, ""y"": 7.25}, {""x"": 2005, ""y"": 5.416666666666667}, {""x"": 2006, ""y"": 6.083333333333333}, {""x"": 2007, ""y"": 4.333333333333333}, {""x"": 2008, ""y"": 4.75}, {""x"": 2009, ""y"": 5.583333333333333}, {""x"": 2010, ""y"": 5.333333333333333}, {""x"": 2011, ""y"": 7.25}, {""x"": 2012, ""y"": 8.083333333333334}, {""x"": 2013, ""y"": 8.666666666666666}, {""x"": 2014, ""y"": 8.666666666666666}, {""x"": 2015, ""y"": 9.333333333333334}, {""x"": 2016, ""y"": 11.333333333333334}, {""x"": 2017, ""y"": 9.0}, {""x"": 2018, ""y"": 8.166666666666666}, {""x"": 2019, ""y"": 8.083333333333334}, {""x"": 2020, ""y"": 21.75}, {""x"": 2021, ""y"": 10.083333333333334}, {""x"": 2022, ""y"": 9.25}, {""x"": 2023, ""y"": 10.166666666666666}, {""x"": 2024, ""y"": 8.0}, {""x"": 2025, ""y"": 9.25}]"
"Betty White","[{""x"": 2004, ""y"": 0.08333333333333333}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 0.08333333333333333}, {""x"": 2007, ""y"": 0.3333333333333333}, {""x"": 2008, ""y"": 0.5}, {""x"": 2009, ""y"": 0.75}, {""x"": 2010, ""y"": 4.333333333333333}, {""x"": 2011, ""y"": 2.1666666666666665}, {""x"": 2012, ""y"": 2.9166666666666665}, {""x"": 2013, ""y"": 2.4166666666666665}, {""x"": 2014, ""y"": 4.333333333333333}, {""x"": 2015, ""y"": 3.3333333333333335}, {""x"": 2016, ""y"": 3.0833333333333335}, {""x"": 2017, ""y"": 2.3333333333333335}, {""x"": 2018, ""y"": 2.0833333333333335}, {""x"": 2019, ""y"": 2.6666666666666665}, {""x"": 2020, ""y"": 2.8333333333333335}, {""x"": 2021, ""y"": 8.75}, {""x"": 2022, ""y"": 9.833333333333334}, {""x"": 2023, ""y"": 1.0833333333333333}, {""x"": 2024, ""y"": 1.0}, {""x"": 2025, ""y"": 1.0}]"
"Nicolas Cage","[{""x"": 2004, ""y"": 25.666666666666668}, {""x"": 2005, ""y"": 24.5}, {""x"": 2006, ""y"": 27.916666666666668}, {""x"": 2007, ""y"": 31.75}, {""x"": 2008, ""y"": 29.666666666666668}, {""x"": 2009, ""y"": 45.166666666666664}, {""x"": 2010, ""y"": 48.583333333333336}, {""x"": 2011, ""y"": 72.33333333333333}, {""x"": 2012, ""y"": 65.25}, {""x"": 2013, ""y"": 75.75}, {""x"": 2014, ""y"": 66.08333333333333}, {""x"": 2015, ""y"": 58.0}, {""x"": 2016, ""y"": 50.25}, {""x"": 2017, ""y"": 40.916666666666664}, {""x"": 2018, ""y"": 43.166666666666664}, {""x"": 2019, ""y"": 44.666666666666664}, {""x"": 2020, ""y"": 45.916666666666664}, {""x"": 2021, ""y"": 50.25}, {""x"": 2022, ""y"": 54.5}, {""x"": 2023, ""y"": 64.25}, {""x"": 2024, ""y"": 57.166666666666664}, {""x"": 2025, ""y"": 40.5}]"
"Miley Cyrus","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.0}, {""x"": 2006, ""y"": 1.25}, {""x"": 2007, ""y"": 4.75}, {""x"": 2008, ""y"": 19.916666666666668}, {""x"": 2009, ""y"": 25.833333333333332}, {""x"": 2010, ""y"": 29.666666666666668}, {""x"": 2011, ""y"": 16.583333333333332}, {""x"": 2012, ""y"": 16.75}, {""x"": 2013, ""y"": 38.666666666666664}, {""x"": 2014, ""y"": 24.083333333333332}, {""x"": 2015, ""y"": 14.416666666666666}, {""x"": 2016, ""y"": 7.833333333333333}, {""x"": 2017, ""y"": 5.666666666666667}, {""x"": 2018, ""y"": 3.75}, {""x"": 2019, ""y"": 5.583333333333333}, {""x"": 2020, ""y"": 3.6666666666666665}, {""x"": 2021, ""y"": 2.8333333333333335}, {""x"": 2022, ""y"": 2.5833333333333335}, {""x"": 2023, ""y"": 5.916666666666667}, {""x"": 2024, ""y"": 3.25}, {""x"": 2025, ""y"": 2.75}]"
"Brad Pitt","[{""x"": 2004, ""y"": 33.583333333333336}, {""x"": 2005, ""y"": 48.666666666666664}, {""x"": 2006, ""y"": 30.916666666666668}, {""x"": 2007, ""y"": 21.833333333333332}, {""x"": 2008, ""y"": 19.916666666666668}, {""x"": 2009, ""y"": 24.083333333333332}, {""x"": 2010, ""y"": 18.75}, {""x"": 2011, ""y"": 18.25}, {""x"": 2012, ""y"": 19.583333333333332}, {""x"": 2013, ""y"": 19.25}, {""x"": 2014, ""y"": 21.25}, {""x"": 2015, ""y"": 18.916666666666668}, {""x"": 2016, ""y"": 27.0}, {""x"": 2017, ""y"": 17.833333333333332}, {""x"": 2018, ""y"": 16.0}, {""x"": 2019, ""y"": 17.083333333333332}, {""x"": 2020, ""y"": 21.583333333333332}, {""x"": 2021, ""y"": 14.083333333333334}, {""x"": 2022, ""y"": 16.916666666666668}, {""x"": 2023, ""y"": 15.5}, {""x"": 2024, ""y"": 15.333333333333334}, {""x"": 2025, ""y"": 14.5}]"
"Beyoncé","[{""x"": 2004, ""y"": 56.5}, {""x"": 2005, ""y"": 30.833333333333332}, {""x"": 2006, ""y"": 42.583333333333336}, {""x"": 2007, ""y"": 50.583333333333336}, {""x"": 2008, ""y"": 29.5}, {""x"": 2009, ""y"": 48.75}, {""x"": 2010, ""y"": 42.75}, {""x"": 2011, ""y"": 60.75}, {""x"": 2012, ""y"": 37.416666666666664}, {""x"": 2013, ""y"": 49.833333333333336}, {""x"": 2014, ""y"": 57.333333333333336}, {""x"": 2015, ""y"": 42.833333333333336}, {""x"": 2016, ""y"": 51.416666666666664}, {""x"": 2017, ""y"": 34.0}, {""x"": 2018, ""y"": 29.25}, {""x"": 2019, ""y"": 26.416666666666668}, {""x"": 2020, ""y"": 29.416666666666668}, {""x"": 2021, ""y"": 28.5}, {""x"": 2022, ""y"": 34.666666666666664}, {""x"": 2023, ""y"": 47.5}, {""x"": 2024, ""y"": 53.916666666666664}, {""x"": 2025, ""y"": 47.0}]"
"Mark Zuckerberg","[{""x"": 2004, ""y"": 0.0}, {""x"": 2005, ""y"": 0.25}, {""x"": 2006, ""y"": 1.0}, {""x"": 2007, ""y"": 1.8333333333333333}, {""x"": 2008, ""y"": 2.5833333333333335}, {""x"": 2009, ""y"": 3.5833333333333335}, {""x"": 2010, ""y"": 24.5}, {""x"": 2011, ""y"": 40.0}, {""x"": 2012, ""y"": 22.416666666666668}, {""x"": 2013, ""y"": 13.083333333333334}, {""x"": 2014, ""y"": 15.0}, {""x"": 2015, ""y"": 18.666666666666668}, {""x"": 2016, ""y"": 15.833333333333334}, {""x"": 2017, ""y"": 14.583333333333334}, {""x"": 2018, ""y"": 21.166666666666668}, {""x"": 2019, ""y"": 12.583333333333334}, {""x"": 2020, ""y"": 16.333333333333332}, {""x"": 2021, ""y"": 16.666666666666668}, {""x"": 2022, ""y"": 14.166666666666666}, {""x"": 2023, ""y"": 16.75}, {""x"": 2024, ""y"": 15.25}, {""x"": 2025, ""y"": 21.25}]"
"John Travolta","[{""x"": 2004, ""y"": 8.083333333333334}, {""x"": 2005, ""y"": 9.583333333333334}, {""x"": 2006, ""y"": 8.5}, {""x"": 2007, ""y"": 9.333333333333334}, {""x"": 2008, ""y"": 7.333333333333333}, {""x"": 2009, ""y"": 18.833333333333332}, {""x"": 2010, ""y"": 14.25}, {""x"": 2011, ""y"": 11.25}, {""x"": 2012, ""y"": 17.166666666666668}, {""x"": 2013, ""y"": 11.25}, {""x"": 2014, ""y"": 13.833333333333334}, {""x"": 2015, ""y"": 14.583333333333334}, {""x"": 2016, ""y"": 12.583333333333334}, {""x"": 2017, ""y"": 11.75}, {""x"": 2018, ""y"": 11.25}, {""x"": 2019, ""y"": 12.916666666666666}, {""x"": 2020, ""y"": 16.75}, {""x"": 2021, ""y"": 11.0}, {""x"": 2022, ""y"": 13.0}, {""x"": 2023, ""y"": 10.833333333333334}, {""x"": 2024, ""y"": 10.416666666666666}, {""x"": 2025, ""y"": 8.0}]"
"Bill Cosby","[{""x"": 2004, ""y"": 13.083333333333334}, {""x"": 2005, ""y"": 9.0}, {""x"": 2006, ""y"": 6.666666666666667}, {""x"": 2007, ""y"": 6.166666666666667}, {""x"": 2008, ""y"": 5.583333333333333}, {""x"": 2009, ""y"": 5.333333333333333}, {""x"": 2010, ""y"": 6.833333333333333}, {""x"": 2011, ""y"": 6.083333333333333}, {""x"": 2012, ""y"": 9.833333333333334}, {""x"": 2013, ""y"": 8.333333333333334}, {""x"": 2014, ""y"": 19.833333333333332}, {""x"": 2015, ""y"": 18.0}, {""x"": 2016, ""y"": 10.666666666666666}, {""x"": 2017, ""y"": 9.0}, {""x"": 2018, ""y"": 18.583333333333332}, {""x"": 2019, ""y"": 6.083333333333333}, {""x"": 2020, ""y"": 5.583333333333333}, {""x"": 2021, ""y"": 8.916666666666666}, {""x"": 2022, ""y"": 4.666666666666667}, {""x"": 2023, ""y"": 3.3333333333333335}, {""x"": 2024, ""y"": 4.0}, {""x"": 2025, ""y"": 3.0}]"
"Oprah Winfrey","[{""x"": 2004, ""y"": 53.0}, {""x"": 2005, ""y"": 59.916666666666664}, {""x"": 2006, ""y"": 47.25}, {""x"": 2007, ""y"": 45.0}, {""x"": 2008, ""y"": 40.666666666666664}, {""x"": 2009, ""y"": 39.916666666666664}, {""x"": 2010, ""y"": 43.333333333333336}, {""x"": 2011, ""y"": 39.75}, {""x"": 2012, ""y"": 29.416666666666668}, {""x"": 2013, ""y"": 33.166666666666664}, {""x"": 2014, ""y"": 29.25}, {""x"": 2015, ""y"": 24.5}, {""x"": 2016, ""y"": 20.333333333333332}, {""x"": 2017, ""y"": 19.833333333333332}, {""x"": 2018, ""y"": 26.833333333333332}, {""x"": 2019, ""y"": 18.583333333333332}, {""x"": 2020, ""y"": 20.833333333333332}, {""x"": 2021, ""y"": 18.833333333333332}, {""x"": 2022, ""y"": 15.083333333333334}, {""x"": 2023, ""y"": 14.583333333333334}, {""x"": 2024, ""y"": 15.5}, {""x"": 2025, ""y"": 14.0}]"
"Robert De Niro","[{""x"": 2004, ""y"": 18.166666666666668}, {""x"": 2005, ""y"": 19.166666666666668}, {""x"": 2006, ""y"": 14.916666666666666}, {""x"": 2007, ""y"": 15.666666666666666}, {""x"": 2008, ""y"": 16.333333333333332}, {""x"": 2009, ""y"": 16.666666666666668}, {""x"": 2010, ""y"": 22.5}, {""x"": 2011, ""y"": 29.5}, {""x"": 2012, ""y"": 26.25}, {""x"": 2013, ""y"": 35.416666666666664}, {""x"": 2014, ""y"": 35.75}, {""x"": 2015, ""y"": 32.75}, {""x"": 2016, ""y"": 37.833333333333336}, {""x"": 2017, ""y"": 27.75}, {""x"": 2018, ""y"": 31.5}, {""x"": 2019, ""y"": 35.333333333333336}, {""x"": 2020, ""y"": 35.833333333333336}, {""x"": 2021, ""y"": 27.333333333333332}, {""x"": 2022, ""y"": 26.416666666666668}, {""x"": 2023, ""y"": 39.666666666666664}, {""x"": 2024, ""y"": 32.833333333333336}, {""x"": 2025, ""y"": 42.0}]"
